"sampleID","tubeLabel","plateID","sampleType","CDCA","GCDCA","TCDCA","UDCA","GUDCA","TUDCA","DCA","GDCA","LCA","GLCA","TLCA","CA","GCA","TCA","TDCA"
"SRV00346","1654-2","SRVp008","sample",112.5201280028,288.1814340173,36.3203250998,8.4795863461,34.1344297214,5.1080545907,204.7700310384,104.5354060055,10.7922561203,5.7872883862,0.94287641,103.3363394367,72.8040072227,9.0679907748,14.3932662605
"SRV00268","1630-18","SRVp008","sample",44.2148084063,848.4810827197,576.0995721595,NA,26.1945194411,10.3703102345,96.5044293268,180.0871679082,5.8497927711,7.019935445,4.5350238266,27.301835954,398.5918553951,263.532583023,147.9634078909
"SRV00206","1606-2","SRVp008","sample",118.334952841,1345.4507707046,117.6384158613,11.7574509293,128.658392048,10.3449446513,242.0540550918,409.7995974563,10.8747326074,8.3610211028,1.556809645,152.5802714267,568.3596092964,44.5006875296,39.1539826166
"SRV00241","1617-2","SRVp008","sample",92.111825517,678.4694842517,65.6397019655,21.3279159372,105.8122704004,5.808745834,128.51561335,142.3398144266,6.0948750796,4.0706615034,0.8601605546,52.7776753446,174.347050828,18.0332141832,12.8024654961
"QC04#32",NA,"SRVp008","qc",31.570137206,21.2708073457,45.0804819418,23.2667611454,21.4210740993,44.9804260837,21.809910261,18.3657853884,28.4816895857,20.4828011782,40.2431791547,13.0509981407,24.2415014909,39.9158326652,40.2735857779
"SRV00221","1609-2","SRVp008","sample",25.5371656298,495.8491548015,61.1852884456,NA,50.403243735,10.0603032946,215.3419356651,347.2227711426,13.9240500703,8.961658445,3.7749001318,28.3538759298,227.4501463752,25.716564625,81.474838025
"SRV00277","1632-10","SRVp008","sample",82.701980126,185.2299716899,16.3690491373,12.5288845327,40.4212078317,2.9592178252,397.574389867,170.4168509857,8.8933312213,7.3766502546,0.1647312372,110.5589782238,76.7165079769,6.1135488518,17.2361004221
"SLTR#1",NA,"SRVp008","sltr",427.75265137,1857.1005960539,260.450447413,65.0541666044,166.4801166478,12.3233423453,319.0709683452,492.8354383254,7.1690768463,20.6477411388,2.4823566162,138.2494836034,365.6507867421,90.9334843092,95.4037491093
"SRV00287","1634-10","SRVp008","sample",128.5202423629,115.914197859,11.2352559232,13.7591514442,14.586602521,NA,278.8905676564,76.0079876891,8.8554579984,6.282261873,0.825383382,264.9606283283,43.5988201126,3.7471044206,4.8031590532
"SRV00263","1629-18","SRVp008","sample",130.36751177,2606.9187744342,521.4955148868,16.0389519097,171.0040754745,15.4208829644,168.3609484,927.3014098298,2.3840110096,7.3574892652,2.7785537553,32.8771299381,633.7777907922,108.4486408798,251.7891181705
"SRV00274","1631-23","SRVp008","sample",1010.3819121114,803.7140325382,209.0474413278,27.9623066002,18.8767518295,4.3120076833,696.8800351863,425.9511262401,11.9876902177,16.8229368285,5.5258328479,1147.2027043082,219.7540704012,59.6833431411,171.0318098961
"SRV00314","1643-23","SRVp008","sample",730.0688286175,1196.8995691382,80.5511302364,79.4770309603,107.4743693798,6.5576010056,349.537605065,262.665956289,14.4502035313,33.4551907251,2.2197756626,775.8163258687,160.4960771637,13.2992231516,20.1118671792
"SRV00310","1642-26","SRVp008","sample",239.5845025782,1244.3598773729,150.1396213401,26.2565688262,134.4472794549,14.7120586533,82.9524595735,158.3185845358,6.5195987268,15.7104328206,1.4703331781,349.0711944192,256.5007875437,33.9185724449,21.9207521846
"SRV00290","1634-26","SRVp008","sample",1076.0558285175,632.2869856244,64.5238359375,46.5946727508,45.4444473484,2.668985943,872.0487181315,323.3401650303,16.0766302641,17.6651632796,2.6372966619,914.2282381739,174.1660938893,15.7538333685,41.7696373253
"SRV00265","1629-26","SRVp008","sample",567.1646738638,2391.108144118,444.4916532084,25.5827543871,153.0390917025,13.2902236053,245.3473590781,877.6163021072,2.218192134,6.6999757593,3.1722401563,25.5887109596,475.3840893555,110.7919222574,183.6277619188
"LTR#2",NA,"SRVp008","ltr",422.29365843,1784.8698717374,280.4294392222,69.6241233063,185.5298331618,13.9762453343,328.8087072228,548.1152822177,5.5945799539,22.572260488,4.1619435745,146.3373506286,402.0800008288,88.5392234717,94.5717685657
"SRV00281","1633-2","SRVp008","sample",139.117420306,2061.3374994184,284.6144423385,28.1983506352,162.1395407376,16.5109748286,171.1116025765,320.6154217579,15.3366349546,12.4965877293,2.021588266,78.6921239362,525.0768739367,54.1401878086,45.1439126155
"SRV00337","1649-10","SRVp008","sample",500.9583638476,2103.3692324931,337.6297326362,21.8775747408,121.3333158242,8.396554617,265.9309619952,561.0672296603,13.8839133849,19.7017927535,5.7755372199,465.0063512126,737.4211300007,135.7407764559,95.2990098911
"SRV00347","1654-10","SRVp008","sample",1852.0416143239,469.6861945849,60.9832938188,123.7850056589,37.7245272501,6.6701055121,1097.1076018315,172.2212314629,9.9734177361,18.0735723626,1.609917216,2618.9869818584,108.903987387,13.3174902985,22.6374402338
"SRV00296","1640-2","SRVp008","sample",52.2156776007,803.1209271599,509.9853585352,NA,17.3364428827,6.1701947463,22.8634100007,38.9663426658,5.1232001751,4.8939250736,4.4510008541,16.3300357575,355.346131102,210.3485820376,36.3458677248
"SRV00226","1610-2","SRVp008","sample",577.953803742,1459.8235379206,159.4203997917,56.8499817961,193.1554278342,10.1068609372,910.2228918957,914.0858734161,17.675978405,15.692761819,7.2115527387,68.1082058231,599.3174999366,54.2517504698,106.7780773562
