"Check","Result"
"Raw data rows","203"
"Biological sample rows","159"
"Longitudinal rows used before compound-specific missing filtering","127"
"Subjects","32"
"Timepoint 10 excluded","Yes"
"All-missing BA rows preserved as missing","1 row: 1623-26"
"Finite-sample df method","Satterthwaite via emmeans(lmer.df = 'satterthwaite')"
"Multiple testing correction","BH FDR, separately for 45 individual BA contrasts and 12 aggregate contrasts"
"Non-positive modeled values","0"
